Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
6.19346E-4,85.271335106,0.861325389,0.017498509,0.844827586,0
6.25489E-4,85.520165247,0.864016147,0.017100815,0.844827586,0
6.27125E-4,85.770866965,0.864724136,0.016703122,0.844827586,0
6.29756E-4,86.02246435,0.865854434,0.016305429,0.844827586,0
6.32549E-4,86.275117841,0.867044343,0.015907735,0.844827586,0
6.39312E-4,86.530261639,0.869882101,0.015510042,0.844827586,0
6.43408E-4,86.787289892,0.871570794,0.015112348,0.844827586,0
6.45275E-4,87.045153606,0.872333723,0.014714655,0.844827586,0
6.49204E-4,87.304660452,0.873923735,0.014316962,0.844827586,0
6.53071E-4,87.500406706,0.875469303,0.014018692,0.844827586,0
6.54847E-4,87.762256078,0.876172551,0.013620998,0.844827586,0
6.57775E-4,88.024975143,0.877323994,0.013223305,0.844827586,0
6.61559E-4,88.288941458,0.878795831,0.012825611,0.844827586,0
6.65057E-4,88.554623412,0.880140602,0.012427918,0.844827586,0
6.72127E-4,88.755975879,0.882813418,0.012129648,0.844827586,0
6.81337E-4,89.027017068,0.886206098,0.011731955,0.844827586,0
6.91028E-4,89.30164714,0.889669859,0.011334261,0.844827586,0
6.95337E-4,89.509951434,0.891176005,0.011035991,0.844827586,0
7.0123E-4,89.789898588,0.893202844,0.010638298,0.844827586,0
7.09812E-4,90.002012833,0.896086744,0.010340028,0.844827586,0
7.25623E-4,90.290879342,0.901197614,0.009942334,0.879310345,0
7.27286E-4,90.508835451,0.90172036,0.009644064,0.879310345,0
7.30754E-4,90.800315581,0.90280154,0.009246371,0.879310345,0
7.38261E-4,91.02130708,0.905101272,0.008948101,0.879310345,0
7.44282E-4,91.31843049,0.90690661,0.008550408,0.913793103,0
7.50603E-4,91.54299686,0.90876477,0.008252138,0.913793103,0
7.56422E-4,91.768833596,0.910442867,0.007953868,0.913793103,0
7.62974E-4,92.073196624,0.912295006,0.007556174,0.931034483,0
7.73163E-4,92.304404746,0.915099833,0.007257904,0.931034483,0
7.78325E-4,92.537398691,0.916486369,0.006959634,0.931034483,0
7.85736E-4,92.772141315,0.918437525,0.006661364,0.931034483,0
7.87054E-4,93.008143154,0.918779625,0.006363094,0.931034483,0
8.07463E-4,93.326907903,0.923898641,0.005965401,0.931034483,0
8.12802E-4,93.57047794,0.925183771,0.005667131,0.931034483,0
8.17626E-4,93.815058973,0.926326252,0.005368861,0.931034483,0
8.31258E-4,94.063540543,0.92946129,0.005070591,0.931034483,0
8.47133E-4,94.315779994,0.932944383,0.004772321,0.931034483,0
8.56905E-4,94.572148713,0.935002344,0.004474051,0.931034483,0
8.67263E-4,94.831056958,0.93711485,0.00417578,0.931034483,0
8.73058E-4,95.005405018,0.938266594,0.003976934,0.931034483,0
8.84935E-4,95.26934208,0.940561701,0.003678664,0.931034483,0
8.97867E-4,95.537099902,0.942963702,0.003380394,0.931034483,0
9.0728E-4,95.808029977,0.944650811,0.003082124,0.948275862,0
